"","x"
"1","also"
"2","another"
"3","anyone"
"4","can"
"5","christian"
"6","even"
"7","example"
"8","first"
"9","get"
"10","god"
"11","however"
"12","know"
"13","like"
"14","make"
"15","many"
"16","may"
"17","moral"
"18","morality"
"19","must"
"20","one"
"21","people"
"22","rather"
"23","read"
"24","reason"
"25","religion"
"26","right"
"27","see"
"28","seems"
"29","subject"
"30","sure"
"31","take"
"32","think"
"33","true"
"34","way"
"35","well"
"36","will"
"37","wrote"
"38","anything"
"39","article"
"40","atheists"
"41","believe"
"42","cant"
"43","doesnt"
"44","dont"
"45","fact"
"46","good"
"47","just"
"48","little"
"49","made"
"50","mean"
"51","might"
"52","much"
"53","nothing"
"54","now"
"55","point"
"56","question"
"57","really"
"58","said"
"59","say"
"60","since"
"61","someone"
"62","something"
"63","still"
"64","thats"
"65","thing"
"66","things"
"67","time"
"68","two"
"69","want"
"70","years"
"71","writes"
"72","keith"
"73","never"
"74","yet"
"75","email"
"76","need"
"77","please"
"78","software"
"79","thanks"
"80","files"
"81","find"
"82","using"
"83","looking"
"84","file"
"85","image"
"86","program"
"87","graphics"
"88","use"
"89","help"
"90","computer"
"91","windows"
"92","win"
"93","problem"
"94","ive"
"95","microsoft"
"96","dos"
"97","version"
"98","run"
"99","system"
"100","work"
"101","bus"
"102","card"
"103","new"
"104","controller"
"105","drive"
"106","ide"
"107","apple"
"108","mac"
"109","code"
"110","display"
"111","running"
"112","set"
"113","window"
"114","application"
"115","motif"
"116","server"
"117","asking"
"118","offer"
"119","sale"
"120","used"
"121","interested"
"122","call"
"123","sell"
"124","condition"
"125","shipping"
"126","price"
"127","car"
"128","cars"
"129","engine"
"130","dod"
"131","back"
"132","bike"
"133","bikes"
"134","bmw"
"135","got"
"136","motorcycle"
"137","ride"
"138","riding"
"139","baseball"
"140","game"
"141","season"
"142","team"
"143","better"
"144","games"
"145","hit"
"146","last"
"147","league"
"148","play"
"149","players"
"150","year"
"151","best"
"152","hes"
"153","fans"
"154","going"
"155","hockey"
"156","next"
"157","nhl"
"158","player"
"159","playoff"
"160","playoffs"
"161","teams"
"162","cup"
"163","played"
"164","algorithm"
"165","available"
"166","crypto"
"167","data"
"168","encryption"
"169","government"
"170","information"
"171","key"
"172","keys"
"173","pgp"
"174","public"
"175","secure"
"176","security"
"177","without"
"178","law"
"179","number"
"180","secret"
"181","nsa"
"182","phone"
"183","david"
"184","chip"
"185","clipper"
"186","escrow"
"187","power"
"188","medical"
"189","space"
"190","earth"
"191","moon"
"192","orbit"
"193","nasa"
"194","shuttle"
"195","gods"
"196","quite"
"197","faith"
"198","life"
"199","though"
"200","word"
"201","jesus"
"202","man"
"203","bible"
"204","christ"
"205","church"
"206","come"
"207","give"
"208","part"
"209","says"
"210","sin"
"211","whether"
"212","world"
"213","clh"
"214","christians"
"215","others"
"216","christianity"
"217","mayathosrutgersedu"
"218","control"
"219","gun"
"220","american"
"221","day"
"222","didnt"
"223","fbi"
"224","firearms"
"225","guns"
"226","weapons"
"227","state"
"228","atf"
"229","bill"
"230","compound"
"231","fire"
"232","waco"
"233","today"
"234","batf"
"235","israel"
"236","jews"
"237","argic"
"238","armenia"
"239","armenian"
"240","serdar"
"241","turks"
"242","armenians"
"243","children"
"244","closed"
"245","history"
"246","jewish"
"247","longer"
"248","muslim"
"249","muslims"
"250","policy"
"251","single"
"252","soviet"
"253","turkish"
"254","war"
"255","israeli"
"256","case"
"257","arab"
"258","arabs"
"259","peace"
"260","rights"
"261","killed"
"262","center"
"263","clayton"
"264","cramer"
"265","gay"
"266","look"
"267","opinions"
"268","clinton"
"269","study"
"270","different"
